"year","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"interactive",13,16,15,8,15,18,20,21,19,22,20,20,15,17,12,16,16,12,10,6,15
"process",0,0,5,0,8,0,7,0,8,0,9,0,0,5,0,9,6,7,0,4,7
"flow",0,8,9,7,8,7,0,0,11,14,15,0,10,0,6,8,12,7,7,4,11
"surface",9,10,13,14,8,12,21,19,15,14,16,11,10,9,8,7,0,6,0,6,0
"hardware",0,0,6,0,0,0,0,0,10,10,10,0,0,0,0,5,0,0,0,0,0
"feature",0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,8,5,0,0,5,0
"maps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"ensemble",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7
"accuracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"models",0,8,0,9,0,13,0,9,0,0,13,0,0,0,0,0,0,5,0,0,0
"sets",6,0,7,11,0,10,8,9,10,10,10,11,6,6,0,0,7,0,6,4,0
"mapping",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mesh",0,0,9,7,9,8,10,15,8,8,0,7,0,0,0,0,0,0,0,0,0
"representation",4,9,9,0,8,0,8,7,9,9,9,6,9,5,7,5,7,5,0,0,9
"data",31,35,34,36,34,37,31,31,38,47,46,32,24,30,32,28,25,28,19,24,31
"parallel",0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0
"structure",0,6,6,7,8,10,0,11,10,18,11,0,0,0,0,0,8,5,0,0,7
"tracking",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"subdivision",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"algorithm",15,14,17,17,11,24,22,18,18,21,16,9,12,9,9,7,8,7,8,6,0
"medical",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0
"lines",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"analysis",8,8,0,9,0,7,12,7,0,0,13,11,7,14,14,15,19,14,13,12,26
"complexity",0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0
"points",0,0,0,0,0,0,7,7,8,10,9,0,6,8,0,0,0,0,0,5,0
"algorithms",8,10,8,8,6,6,8,11,12,0,0,0,0,0,7,0,0,5,0,4,6
"time",11,13,6,11,11,12,8,9,9,12,12,9,6,0,12,0,8,11,0,5,7
"direct volume rendering",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"visualizations",0,0,0,0,0,0,0,8,0,0,9,7,7,8,0,0,6,5,4,0,9
"model",8,8,12,9,0,11,10,10,0,15,11,7,10,10,0,9,0,11,5,0,10
